tree,treatment,origin,culture,stressed,serie ,c1L0,c1W1,c1W2,c2L0,c2W1,c2W2,c3L0,c3W1,c3W2,c4L0,c4W1,c4W2,c5L0,c5W1,c5W2,c6L0,c6W1,c6W2,c7L0,c7W1,c7W2,c8L0,c8W1,c8W2,c1L1,c1W11,c1W21,c2L1,c2W11,c2W21,c3L1,c3W11,c3W21,c4L1,c4W11,c4W21,c5L1,c5W11,c5W21,c6L1,c6W11,c6W21,c7L1,c7W11,c7W21,c8L1,c8W11,c8W21,c1L3,c1W13,c1W23,c2L3,c2W13,c2W23,c3L3,c3W13,c3W23,c4L3,c4W13,c4W23,c5L3,c5W13,c5W23,c6L3,c6W13,c6W23,c7L3,c7W13,c7W23,c8L3,c8W13,c8W23,c1EV0,c2EV0,c3EV0,c4EV0,c5EV0,c6EV0,c7EV0,c8EV0,c1EV1,c2EV1,c3EV1,c4EV1,c5EV1,c6EV1,c7EV1,c8EV1,c1EV3,c2EV3,c3EV3,c4EV3,c5EV3,c6EV3,c7EV3,c8EV3,c1oct-dec,c2oct-dec,c3oct-dec,c4oct-dec,c5oct-dec,c6oct-dec,c7oct-dec,c8oct-dec,c1dec-mar,c2dec-mar,c3dec-mar,c4dec-mar,c5dec-mar,c6dec-mar,c7dec-mar,c8dec-mar,c1oct-mar,c2oct-mar,c3oct-mar,c4oct-mar,c5oct-mar,c6oct-mar,c7oct-mar,c8oct-mar
22,intsub,int,sub,no,original,4.6,3.5,2.5,4.4,3.7,3.3,4.4,3.8,3.7,4.6,3,2,4.1,2.3,2.2,NA,NA,NA,4.2,2.1,2.1,NA,NA,NA,5.3,3.6,2.7,5.3,4,4.7,5.3,4.1,4.5,4.7,3.5,2.1,4.6,2.6,2.4,NA,NA,NA,4.6,3.6,2.4,NA,NA,NA,8.2,7.2,6.4,NA,NA,NA,NA,NA,NA,6,5.3,5.5,NA,NA,NA,NA,NA,NA,1.8,1.3,1.2,NA,NA,NA,32.51548396,42.33296101,48.59651136,22.5801972,16.30192063,NA,14.54714478,NA,41.30350036,78.76699276,76.96666382,28.94035152,22.5801972,NA,32.51548396,NA,297.7978508,NA,NA,137.4132627,NA,NA,2.208932335,NA,0.004430201,0.011498667,0.008515197,0.004595622,0.006033155,NA,0.014894846,NA,0.022706525,NA,NA,0.017905242,NA,NA,-0.030910427,NA,0.015596468,NA,NA,0.012717744,NA,NA,-0.013273841,NA
23,subsub,sub,sub,no,original,6.1,3.9,3.1,4.4,2.8,2,3.4,2.7,2.1,4.6,4.2,3.5,3.2,2.7,2.5,3.6,3.2,2.9,3.8,2.3,2.7,3.8,3.2,2.5,NA,NA,NA,5.4,3.1,2.8,4.3,3.7,3.2,5.5,6.4,4.9,3.4,3.1,2.6,4.3,5.5,3.8,4.9,3.5,3.2,4.3,3.8,2.2,7,3.5,3.4,NA,NA,NA,8.9,6.7,5.7,6.7,6.1,5.2,7.5,6,5.9,NA,NA,NA,5.9,6.1,5.1,6.3,5.7,4.8,58.68887776,19.90513105,15.38123763,53.55119567,16.98973307,26.30219909,18.65320638,24.24170701,NA,36.90860859,40.19726705,137.8953008,21.68994838,73.02376869,43.18924135,30.39490892,65.43741148,NA,268.6972781,167.9815482,208.5379386,NA,145.3175098,136.3794823,NA,0.011434579,0.017789826,0.017515863,0.004522958,0.01890986,0.015547655,0.004188899,NA,NA,0.021836625,0.002268499,0.026014621,NA,0.013946318,0.017254784,0.000766506,NA,0.020143922,0.008050817,0.017658534,NA,0.014457063,0.012164554
24,intsub,int,sub,no,original,3.7,3,2.6,4.2,4,2.3,4,3,4,3.8,4,3.6,4.3,2.7,2.6,3.6,4.8,2.5,4,3.5,2.5,4.7,3.8,2.7,4.3,4.1,3.4,5.4,5.1,4,3.8,4.5,3.8,4.5,4,4,5.1,4.5,3.8,4.3,5.8,4.1,4.3,4.1,3.2,4.9,4,3.1,NA,NA,NA,6.8,5.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,5.8,5.4,6.6,5.9,4.6,NA,NA,NA,22.78282992,32.73107576,38.48451001,43.09636802,23.71647199,37.66848131,28.27433388,38.99011007,47.49204519,87.80240958,51.4007755,56.54866776,68.98525133,82.75013954,44.99290824,48.50010374,NA,144.4127311,NA,NA,NA,157.632553,142.8737434,NA,0.013602871,0.018273407,0.005359212,0.005030795,0.019772646,0.014574111,0.008602786,0.004041813,NA,0.005719384,NA,NA,NA,0.007407368,0.013281109,NA,NA,0.010453172,NA,NA,NA,0.010080585,0.011408499,NA
25,intsub,int,sub,yes,original,5.4,3.6,2.5,3.7,1.6,1.7,4.9,1.8,0.9,4.9,2.5,2.7,3.3,2.6,1.8,3.2,2.8,3.5,3.6,3.2,2.4,4.2,2.3,1.1,4.8,3.9,3.6,5.1,3.3,3,4.3,2.5,1.6,5.3,3.5,2.9,4,3.8,2.5,3.9,4.6,4.2,5,4.1,4,4.6,2.5,1.8,6.2,5.5,5.4,7.4,5.5,4.3,7,5.8,4,6.5,4.5,3.5,6.5,5.6,4.7,NA,NA,NA,6.9,3.7,3.4,NA,NA,NA,39.45329864,7.911512049,7.013801949,26.01552876,12.54437947,24.93796248,22.16707776,9.533162907,53.01437603,39.74487771,14.19273386,42.62512912,31.17245311,59.30070293,64.41246688,16.70031385,144.6353915,139.5448333,132.0018693,81.68140899,135.3996981,NA,68.29606444,NA,0.005471212,0.02989189,0.013052782,0.009143525,0.016856705,0.016041295,0.019753685,0.010382425,0.01153624,0.014435689,0.025633172,0.00747566,0.016881567,NA,0.00067293,NA,0.00914858,0.02021174,0.020668565,0.008057273,0.016753228,NA,0.007924253,NA
26,subsub,sub,sub,yes,original,3.9,3.6,2.8,4.5,2.9,2.8,4.5,3.4,2.4,4,1.7,1.2,3.8,2.3,3.7,4,2.6,2.7,4.2,2.7,2.8,4.9,2,2.4,4.2,3.6,3,5.5,3.7,3.5,5.7,4.7,3,4.9,2,1.6,1.8,0.6,0.7,NA,NA,NA,4.5,3.4,2.9,5.7,3.4,3,4.9,2.4,1.9,4.9,4.1,4,NA,NA,NA,6.6,5.7,4.8,NA,NA,NA,NA,NA,NA,6.7,4.5,4.3,4.6,3.6,3,31.36566105,28.70728462,29.72339349,6.605198554,26.86061719,22.06183441,24.94620916,18.62650284,35.9225412,55.98318109,66.35691638,12.46898124,0.597295303,NA,35.06900974,45.84212,17.78946475,63.12421754,NA,142.8737434,NA,NA,101.8755666,39.3437356,0.002512061,0.012368526,0.014872474,0.011766427,-0.070481571,NA,0.006307332,0.016678109,-0.008077685,0.001379922,NA,0.028031233,NA,NA,0.012257866,-0.001757087,-0.003993713,0.005548969,NA,0.021648622,NA,NA,0.009908664,0.005265854
27,subsub,sub,sub,yes,original,5.3,3.6,2.8,3.6,2.1,2.1,4.2,3.2,2.3,4.1,2.8,2.3,3.4,3,2,3.9,3.7,2.9,3.7,2.3,2.7,4.2,2.7,2.1,5.6,4.2,3.6,4.2,2.5,2.7,5.2,3.5,3.3,5.4,4.1,3.2,4.1,4,2.6,4.2,4.2,3.3,4.3,3.5,3.5,4.7,2.8,2.6,4,2.9,3.6,6.8,5.3,5.6,7,5.3,4.8,6.7,5.1,4.6,4,3,3.1,5.6,4.6,3.7,5.6,4.5,3.9,5.6,4.7,4.1,42.62512912,12.46898124,24.94620916,20.93891139,16.68971097,33.3566454,18.16233253,19.00035237,66.89707397,22.29902466,47.2118544,56.50272197,35.0672426,46.38757903,41.37084826,26.91009727,33.1830724,158.6323648,140.2073166,123.7793396,29.22466566,75.74851127,77.58477217,85.14972728,0.008346505,0.010764794,0.011813391,0.018382955,0.013749537,0.006106939,0.015244938,0.00644526,-0.008058797,0.022552258,0.012511232,0.009013927,-0.002094878,0.005636633,0.007227525,0.013240341,-0.001763409,0.017910882,0.012157748,0.012513319,0.003945216,0.005775787,0.010225503,0.010563054
28,subsub,sub,sub,yes,original,3.1,3.6,2.8,4.8,4.2,4.4,3.7,4.1,3.9,4.2,2.2,1.6,4.6,2.3,1.9,4.5,3.1,2.9,4.9,5,2.8,3.6,1.8,1.4,4.6,5.1,3.6,5,4.7,4.7,4.4,5.1,3.3,4.5,2.6,2,4.6,2.8,1.7,5.3,4,2.8,4.8,5.6,2.5,4.3,2.4,2,6.6,5.5,4.1,5.7,4.6,4.2,2.5,1.5,1,5.1,4.3,3.2,6.4,4.6,3.2,4.5,2.9,3.1,NA,NA,NA,6.5,3.9,3.7,24.9316793,69.7056578,46.49557127,11.90820695,15.93258714,31.80862562,58.53493972,7.238229474,68.36380504,86.74722715,60.95946385,18.69640328,18.28995973,48.11977468,61.8359682,16.34570658,119.4307863,86.67025813,3.067961576,56.32777453,76.45379882,31.80862562,NA,73.71747162,0.018679709,0.004050314,0.005015779,0.008353766,0.002555292,0.007665846,0.001015951,0.015084975,0.006412569,-1.02031E-05,-0.034358572,0.012676512,0.016440625,-0.004758112,NA,0.017313501,0.011032379,0.001534009,-0.019143266,0.01094338,0.011044508,0,NA,0.016344107
29,intsub,int,sub,yes,original,3.5,3.6,1.6,4.3,3.3,1.8,3.9,3,2,4.3,2.7,1.2,4.1,3.5,2.3,4,4.6,3.6,4,3,2.3,4.5,5.1,4.2,4,5.5,2.9,4.6,4.9,3.5,4.4,5,3.7,5.2,3.5,1.8,5.1,4.5,3.3,6,5.5,4.3,5.2,3.9,3.2,5.3,6.4,4,5.8,4.7,4,8.5,6.9,5,NA,NA,NA,7.2,6.9,5.5,9.1,8.1,7.2,NA,NA,NA,7.3,7.1,6,5.9,5.4,3.5,18.58252055,21.9603217,19.14408023,12.84184902,27.08131407,52.81017251,22.06183441,76.42022305,55.41769441,63.73034857,65.39146569,28.68038473,60.92412093,113.1444594,51.46949784,112.5569816,86.19784113,236.3429971,NA,217.3730789,418.2675226,NA,245.9774763,91.76179807,0.02023477,0.019730067,0.022748115,0.014879706,0.015014541,0.014110399,0.015687781,0.007170597,0.005077542,0.015064635,NA,0.023280479,0.022143587,NA,0.017979892,-0.002347857,0.010805801,0.016732724,NA,0.019921872,0.0192766,NA,0.016981625,0.001288371
30,intsub,int,sub,yes,original,4,3.6,2.5,5.4,2.7,2.3,3,2.4,2,3.4,3,1.9,4.8,2.8,2.8,4.6,3,2.4,3.8,3.2,2.2,3.7,4.6,2.3,5.2,5.2,3.2,5.9,3,3.8,3.7,2.8,2.9,4.2,3.7,2.4,4.3,2.8,2.5,4.3,3.4,2.6,4.6,3.8,2.9,3.6,4.4,2.8,7.1,5.7,4.7,7.2,6.1,4.9,6.6,5.9,4.1,NA,NA,NA,5.9,4.4,4,2.7,2.8,2.8,6.2,4.4,3.5,5.5,4.6,2.8,29.22466566,26.50718801,11.40398133,16.02879842,29.55610368,26.33754201,21.75709992,34.58834607,72.04300273,53.56729634,23.60376735,30.68589894,23.71647199,30.39490892,40.54500209,36.64353671,150.783881,171.05972,129.590697,NA,81.74109925,16.62530832,75.97588404,59.13655471,0.016708336,0.0130282,0.013471181,0.012026226,-0.004076305,0.002653329,0.011527266,0.001068894,0.008489475,0.013345678,0.019574421,NA,0.01422284,-0.006935046,0.007218431,0.00550129,0.011555172,0.013130963,0.017115623,NA,0.00716385,-0.003239924,0.008806168,0.003776989
31,intint,int,int,yes,original,3.7,3.6,3,4,5.4,3.4,3.8,5.2,2,4.5,5.3,2.7,4.9,4.6,3,4.5,3.6,1.9,3.3,3.5,1.4,3.5,3.1,2.6,5.1,4.4,4.1,4.9,6.2,3.8,4.2,5.4,2.9,5.7,7,3.5,5.5,5.4,4.6,5.5,4.6,3.5,3.8,2.9,2,3.9,4,2.8,7.7,5,5.5,5.8,5.1,5.6,9,6,5,3.2,2.5,2.3,5.8,5.6,4.7,6.3,5.9,5.2,4.9,4.3,3.8,4.9,3.3,2.8,31.6460482,60.82123377,38.67928875,56.54866776,55.57163245,26.72808125,15.55736317,22.32788804,72.34989706,96.21127502,56.81138345,123.3909602,107.9922475,70.85371356,17.91453941,35.4088908,166.686034,130.3843418,213.82465,14.47645895,120.8181922,152.4110296,63.12421754,35.80021543,0.015312977,0.008492733,0.007119119,0.014449189,0.012303455,0.018053752,0.002612567,0.008539379,0.00959308,0.003493563,0.015234708,-0.024630276,0.00128997,0.00880418,0.014476918,0.000126333,0.011700695,0.005370053,0.012041211,-0.009595619,0.005469113,0.012259622,0.009863172,0.003324771
32,intint,int,int,yes,original,4,3.6,2.4,4.5,6,4.1,3.9,4.2,2.5,5.3,4.8,3.1,3.5,4.5,2.7,4.9,4.6,2.6,4.6,4.6,4.3,6.1,4.1,2.7,4.5,4.6,4,6,6.9,5.6,4.5,4.8,3,5.3,5.6,3.7,4.9,5.4,3.6,5.4,4.9,4,4.9,5.4,3,6.1,4.5,2.8,9.3,6.2,6.6,6.6,6.2,4.7,6.8,6.5,4.9,6.8,4.1,4.4,4.9,5.9,4.7,8.2,7.4,6.3,7.7,6,5.2,7.7,5.9,5.2,28.27433388,90.13327498,34.37511047,64.94712668,35.62566069,49.87592497,71.5430968,55.38313689,65.34905419,184.0776945,53.75657729,90.00604048,77.93113276,83.98537451,67.88667565,63.82714889,299.1801516,153.9667071,173.519587,96.46652942,108.1029886,302.1933316,189.6516653,186.2801473,0.015514602,0.013223491,0.008280246,0.006042653,0.014495543,0.009650079,-0.000971486,0.002627842,0.017486241,-0.002053121,0.013469247,0.000796774,0.003761596,0.014717521,0.011808612,0.012311185,0.01661332,0.003770753,0.011401111,0.002786075,0.007817029,0.012686821,0.006865416,0.008542088
33,subint,sub,int,yes,original,5.7,3.6,1.9,3.5,5.4,2.9,4.3,4.3,3.1,5.4,2.6,2.3,5.7,4.5,4.4,4.4,3.6,2.6,3.9,3.4,2.7,4,2.3,1.9,5.9,4.2,2.5,3.7,3.6,2.6,4.4,4,2.9,5.5,3,2.8,3.9,4.8,3,4,3.2,2.4,3.9,4,3.1,NA,NA,NA,5.6,3.9,4.4,6.3,4.9,4,4.2,3.6,3.5,5.3,3.1,3.7,5.3,4.1,3.4,4.5,3.6,2.3,NA,NA,NA,5.8,5.2,3.9,33.85556958,47.34281954,46.23403368,25.45750337,88.65122864,33.20977594,28.49404902,13.8544236,52.00337224,27.9264025,41.13208722,36.32859205,46.58903365,24.6300864,38.60212338,NA,75.74851127,97.98293692,41.57151749,48.11977468,58.53670687,30.75717383,NA,94.30629177,0.007948242,-0.009774863,-0.002165327,0.006585085,-0.011913791,-0.005534733,0.005622445,NA,0.004323106,0.014427825,0.000122146,0.003230898,0.00262401,0.0025535,NA,NA,0.005671234,0.005122382,-0.000748598,0.004483681,-0.002922929,-0.000540289,NA,0.013506643
34,subint,sub,int,yes,original,4,3.6,3.4,4.2,2.4,2,4.8,2.7,3.1,4.4,3.9,2.6,4,5.2,3.4,3.9,4.1,3.6,2.7,3.5,2.4,3.6,2.6,1.4,4.2,3.5,3.9,4.3,2.4,2.8,3.3,2.3,1.8,4.4,4.4,2.8,4.4,3.7,2.6,3.9,4.7,3,4,4.4,3.7,3.6,2.4,3,NA,NA,NA,4.4,4.6,4.7,3.4,3.4,3.5,NA,NA,NA,5.5,4.2,3.3,4.9,4,3.4,NA,NA,NA,3.7,4.1,2.3,38.48451001,15.96557387,31.70495306,36.50137964,58.08804816,45.40210068,18.4543043,11.30973355,45.1588236,22.82995381,10.89209808,44.78654487,34.28969842,45.40210068,51.5299735,20.6119894,NA,74.72199587,31.78388558,NA,60.7456392,52.6852942,NA,29.75716561,0.002961664,0.006622938,-0.01978584,0.003788106,-0.009761388,4.11194E-18,0.019016037,0.011114985,NA,0.013628748,0.012309446,NA,0.006572992,0.001710092,NA,0.004220656,NA,0.01086859,1.75106E-05,NA,0.000315038,0.001047732,NA,0.00681272
35,intint,int,int,yes,original,6,3.6,2.8,4.7,5,3.9,5.6,6.3,3.2,6.2,3.7,2.3,4.3,3.5,2.4,5.3,4.7,2.3,5,3.2,1.9,4.7,3.6,3.3,6,4.3,2.9,5.5,5.9,3.9,5.6,6.6,3.5,5.3,3.3,1.9,5,3.9,3.1,6.1,5.6,2.6,5.7,3.7,2.9,5.4,5.2,4.4,7.4,5.8,6.1,7.8,5.7,3.7,NA,NA,NA,8.7,6.7,6,8.4,7.2,6.2,NA,NA,NA,7.1,6.6,5.6,6.3,4.5,4.3,48.25486316,73.09838151,99.23505795,43.82521752,29.39018832,50.99197576,25.53525779,43.93654771,61.07256119,103.7157545,112.1658533,28.1392454,48.10563751,80.53551307,48.7520202,97.7160979,205.7574327,135.3256743,NA,275.5221918,296.1547979,NA,207.4951262,95.79344319,0.004362335,0.006478663,0.002268282,-0.008204521,0.009124787,0.008463518,0.011975676,0.014802219,0.013961325,0.003057819,NA,0.026224172,0.020890608,NA,0.01664783,-0.000228415,0.010212686,0.004337169,NA,0.012946893,0.016269165,NA,0.014753857,0.005489069
36,subint,sub,int,yes,original,4.5,3.6,3.9,3.3,2.7,2.9,4.7,3.4,2.2,3.6,4.2,2.9,4.2,2,1.4,3.6,2.7,2.6,3.4,3.9,2.4,4.1,4.3,3.3,4.6,4.7,3.9,4.1,2.5,2.3,4.5,3.7,3.2,4.6,4.7,3.2,4,1.4,1.5,3.9,3,2.2,3.9,4.4,2.9,4.2,4.8,3.6,NA,NA,NA,2.5,3,1.2,NA,NA,NA,2.8,1.9,1.4,NA,NA,NA,2.6,1.4,1.7,NA,NA,NA,3.6,3.3,3,49.70097753,20.31982128,28.94035152,35.63272928,9.533162907,19.85565097,26.49658514,46.49871287,66.80125539,18.54796303,42.06690738,56.36920428,6.605198554,20.70623718,40.80752142,58.18857913,NA,8.659014751,NA,5.9870902,NA,4.905989628,NA,28.05520779,0.005475875,-0.001689571,0.00692638,0.008493674,-0.006794807,0.000776784,0.007997232,0.004153046,NA,-0.008755851,NA,-0.025773764,NA,-0.016551473,NA,-0.008385228,NA,-0.006007013,NA,-0.012560979,NA,-0.009845294,NA,-0.003558101
37,subint,sub,int,no,original,4.3,3.6,3.1,3.6,5.6,3.4,4.8,5.8,2.1,3.6,4.1,2.2,3.6,3.1,2.8,4,3.7,3.1,3.2,3.9,3.1,4.2,5.4,2.7,4.7,5.9,3,4.3,5.5,3.8,5.3,5.4,3.2,4.6,5.2,3.8,4.6,3,2.8,4.9,4.6,3.9,4.2,4.3,3.4,4.3,5.4,3.4,7.1,5.4,5.1,6.3,4.9,3.8,7.2,7.3,5.6,8.6,6.6,5.3,6.8,6.7,4.5,3.1,3.6,2.9,8.9,6.9,5.3,6.7,5.2,4.2,37.90076282,57.25552611,58.82003925,28.05520779,24.60573906,36.31681108,30.78760801,54.10647218,73.09838151,73.02376869,76.96666382,73.15983892,30.38391335,69.5126462,48.89456996,65.38282631,153.6975118,93.62868951,235.2565951,239.1235029,167.4845875,25.71688111,260.0995244,116.2412844,0.012163611,0.00450483,0.004979441,0.017749488,0.003906178,0.01202274,0.008565816,0.003505663,0.008542302,0.002856918,0.01284258,0.013613029,0.019620437,-0.011429438,0.019211471,0.00661389,0.009859262,0.00346347,0.009761931,0.015090182,0.01350642,-0.002430515,0.015027831,0.005385312
38,subint,sub,int,yes,original,4.2,3.6,2.4,6.1,4.9,3.8,3.4,3.3,2.8,5.2,2.4,2.5,4.9,3.5,3,5.2,3.6,3.2,4.6,5.4,3.9,4,4.2,3.8,4.7,3.7,2.1,6,5.1,3.2,3.3,2.9,2.6,5.1,2.7,2.1,4.7,3.4,2.6,5.1,3.9,3.8,3.3,1.5,1.3,3.3,2.7,1.4,2.2,3.3,1.6,5.5,4.5,2.5,5.7,2.5,3.6,NA,NA,NA,7.4,5.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.68805058,90.65635016,24.84096581,24.51463287,40.64926369,47.2118544,78.11845023,50.26548246,31.0444332,81.15911921,19.60059292,23.07185645,33.22234231,59.37197781,5.079955321,10.89209808,10.37157545,52.91620126,41.64514857,NA,120.3218205,NA,NA,NA,0.000827313,-0.002049339,-0.004387673,-0.001123271,-0.003736261,0.004244025,-0.0506097,-0.028320019,-0.012601731,-0.004916116,0.008662357,NA,0.014792499,NA,NA,NA,-0.007406167,-0.003791313,0.003638667,NA,0.007642178,NA,NA,NA
39,intint,int,int,no,original,4.8,3.6,1.4,5,2.1,1.5,5.1,3,2.5,4.8,4.5,2.6,4.6,3.4,1.7,3.4,3.2,3.2,3.1,3.2,1.9,5.9,2.9,2.9,5,2.4,2.6,NA,NA,NA,5.5,3.8,3.2,4.9,4.6,3.4,5.1,4.8,3.4,4.9,4.2,3.5,3.8,4.4,3.1,6.5,3.9,2.7,NA,NA,NA,6.5,3.4,2.9,7,5.2,4.1,7.5,6,4.9,6.2,5.3,4.9,NA,NA,NA,8.3,6,5,6.1,5.5,5.1,23.5619449,12.72345025,30.29182541,47.5103057,23.49243716,27.34442246,15.83185983,38.97067147,24.54369261,NA,52.91620126,61.57521601,67.33296995,57.04366496,41.96971436,55.594409,NA,50.6552363,118.8759025,174.9621671,126.6548786,NA,197.1938439,134.5771899,0.000755963,NA,0.010330216,0.004802089,0.019499472,0.013616749,0.018054147,0.006579135,NA,NA,0.00930311,0.012003567,0.007262252,NA,0.017784356,0.010161555,NA,0.009729548,0.009628185,0.009180444,0.0118647,NA,0.01776171,0.008727666
40,subint,sub,int,yes,original,3.6,3.6,2.8,4.2,4.8,4,4.2,3.8,2.5,4.4,2.3,1.6,3.3,4.4,2.6,4.1,3.2,2.2,3.8,3.9,3,4.9,3.6,4,4.4,3.6,3.5,4.5,4.6,3.5,4.9,4.1,3,5.4,2.7,2.4,4.1,2.9,2.8,4.3,3.3,2.3,4.3,4,2.4,4.5,4.3,3,4.2,4,3.3,NA,NA,NA,5.5,4.9,5.1,6.8,4.1,4.2,5.6,5.9,3.9,4.7,3.5,1.9,5.1,3.8,3.4,4.9,5.1,4.3,28.9529179,63.86229546,32.73107576,13.14049667,31.74972076,23.47476571,35.52316623,55.57163245,43.55111356,57.97122019,48.50010374,27.57807841,26.15552599,26.47734288,34.58265193,47.08560164,43.94656153,NA,107.9922475,91.98033511,105.6014955,26.91009727,51.91167701,85.0122826,0.00756045,-0.001792268,0.00728224,0.013728192,-0.003589323,0.002228951,-0.000496905,-0.003068622,0.000103898,NA,0.009201075,0.013845444,0.016041518,0.000186347,0.004668869,0.006791132,0.002938756,NA,0.008406581,0.013703352,0.0084633,0.0009618,0.00267154,0.002993823
